source_file,property_number,date,line_item,amount
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Late Fees (4300),1079.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Late Fees (4300),1085.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Late Fees (4300),1896
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Late Fees (4300),956.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Late Fees (4300),975.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Late Fees (4300),912.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Late Fees (4300),1029.6
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Late Fees (4300),1177.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Late Fees (4300),1241.6
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Late Fees (4300),912.8
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Late Fees (4300),943.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Late Fees Waived (4350),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Late Fees Waived (4350),-152.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Late Fees Waived (4350),-75
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Late Fees Waived (4350),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Late Fees Waived (4350),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Late Fees Waived (4350),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Late Fees Waived (4350),-23.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Late Fees Waived (4350),-74
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Late Fees Waived (4350),-84
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Late Fees Waived (4350),-20
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Late Fees Waived (4350),-175.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Late Fees Waived (4350),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Late Fees Waived (4350),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Late Fees,947.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Late Fees,1468.6
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Late Fees,1004.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Late Fees,1085.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Late Fees,1896
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Late Fees,956.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Late Fees,952
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Late Fees,838.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Late Fees,945.6
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Late Fees,1157.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Late Fees,1066.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Late Fees,912.8
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Late Fees,943.4
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Other Fees (4305),31
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Other Fees (4305),32
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Other Fees (4305),52
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Other Fees (4305),22
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Other Fees (4305),21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Other Fees (4305),22
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Other Fees (4305),61
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Other Fees (4305),51
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Other Fees (4305),31
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Other Fees (4305),121
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Other Fees (4305),31
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Other Fees (4305),21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Other Fees (4305),72
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Other Fees Waived (4355),-10
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Other Fees Waived (4355),-20
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Other Fees Waived (4355),-10
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Other Fees Waived (4355),-10
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Other Fees Waived (4355),-10
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Other Fees Waived (4355),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Other Fees Waived (4355),-10
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Other Fees,21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Other Fees,32
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Other Fees,32
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Other Fees,12
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Other Fees,21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Other Fees,22
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Other Fees,51
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Other Fees,41
