run_id,property_name,property_number,managed_by,source_file,reporting_period,line_item,coa,coa2,account_type,coa_confidence,coa_match_method,coa_review_required,month,year,period_date,amount,extracted_at
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,8,2025,2025-08-01,-757.32,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,9,2025,2025-09-01,-260.2,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,10,2025,2025-10-01,-129.5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,11,2025,2025-11-01,-908.5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,12,2025,2025-12-01,-1141.64,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,1,2026,2026-01-01,-1055.8,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,2,2026,2026-02-01,-292.8,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,2,2025,2025-02-01,61834.68,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,3,2025,2025-03-01,64039.13,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,4,2025,2025-04-01,66874.6,2026-03-27T10:12:30.781650
