run_id,property_name,property_number,managed_by,source_file,reporting_period,tenant_account,unit_number,move_in_date,rent_rate,street_rate,paid_thru_date,status,size,unit_type,sq_ft,extracted_at
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004794384,2201,2024-11-01,139,107,2026-03-02,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005043325,2202,2025-01-08,130,93,2026-03-07,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006455959,2203,2025-12-01,69,170,2026-06-06,Current,20X10,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2001735090,2204,2022-06-01,165,93,2026-03-31,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005490564,2206,2025-04-29,123,93,2026-03-28,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006178782,2207,2025-09-24,150,170,2026-03-23,Current,20X10,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005227694,2208,2025-02-28,86,93,2026-03-27,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005790807,2210,2025-06-30,128,93,2026-03-29,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006252607,2212,2025-10-10,58,93,2026-03-16,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005106965,2214,2025-01-27,93,93,2026-02-28,Delinquent,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2001645726,2215,2022-05-05,85,107,2026-03-04,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004572220,3000,2024-09-08,146,99,2026-03-07,Current,10X08,CENB,80,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005895739,3001,2025-07-23,152,114,2026-03-22,Current,11X10,CENB,110,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006636226,3003,2026-01-20,62,107,2026-03-19,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005144403,3004,2025-02-05,166,170,2027-03-04,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006198869,3005,2025-09-28,88,107,2026-03-27,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005577652,3006,2025-05-15,143,170,2026-03-14,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002207501,3007,2022-11-14,159,107,2026-03-27,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005863188,3008,2025-07-16,225,170,2026-03-15,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006187890,3009,2025-09-26,35,107,2026-03-27,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005764187,3010,2025-06-25,240,170,2026-02-24,Delinquent,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005040483,3011,2025-01-07,139,107,2026-03-09,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004933900,3012,2024-12-07,200,170,2026-03-06,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002026858,3013,2022-09-07,169,107,2026-03-18,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002311225,3014,2022-12-30,313,170,2026-03-29,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,5080233313,3015,2024-12-17,147,99,2026-03-16,Current,08X10,CENB,80,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006268144,3016,2025-10-15,58,99,2026-04-14,Current,08X11,CENB,88,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006417418,3017,2025-11-21,51,78,2026-03-20,Current,10X05,CENB,50,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004827986,3018,2024-11-09,25,49,2026-03-08,Current,05X05,CENB,25,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006545587,3019,2025-12-28,51,99,2026-04-27,Current,08X10,CENB,80,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004334565,3021,2024-05-21,130,107,2026-03-20,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005039621,3022,2025-01-07,180,170,2026-02-09,Delinquent,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004783029,3023,2024-10-29,198,170,2026-03-04,Current,20X10,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006487321,3026,2025-12-10,155,276,2026-03-09,Current,20X20,CENL,400,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004822508,3027,2024-11-08,139,107,2026-03-08,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2001094753,3029,2021-09-19,135,107,2026-03-18,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002361277,3030,2024-04-20,220,170,2026-03-19,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006590284,3031,2026-01-08,63,107,2026-03-07,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004685810,3032,2024-10-05,170,170,2026-03-04,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005092625,3033,2025-01-23,108,107,2026-03-22,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006581072,3034,2026-01-05,108,170,2026-03-05,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005155537,3035,2025-02-08,52,89,2026-03-07,Current,05X12,CENB,60,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005598025,3036,2025-05-20,156,121,2026-03-19,Current,08X15,CENB,120,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006341135,3037,2025-11-01,62,99,2026-03-04,Current,10X08,CENB,80,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006774618,3038,2026-02-27,87,114,2026-03-26,Current,11X10,CENB,110,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006566079,3039,2026-01-02,90,107,2026-03-01,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002731948,3041,2023-06-08,169,107,2026-03-21,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003830598,3042,2024-03-27,209,141,2026-03-31,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004972139,3043,2024-12-18,164,170,2026-03-17,Current,20X10,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005682169,3044,2025-06-06,166,141,2026-03-11,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005027858,3046,2025-01-03,71,141,2026-03-04,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005040729,3047,2025-01-07,148,170,2026-03-07,Current,20X10,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003862342,3048,2025-01-29,82,141,2026-03-28,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003177638,3050,2023-10-07,80,141,2026-03-12,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004449032,3051,2024-08-12,130,107,2026-03-17,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003854108,3052,2025-07-07,179,141,2026-03-12,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002084853,3053,2023-10-07,137,107,2026-03-06,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004597621,3054,2024-09-14,50,78,2026-06-13,Current,10X05,CENB,50,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004900391,3055,2024-11-29,76,66,2026-03-28,Current,05X08,CENB,40,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006389287,3056,2025-11-14,39,78,2026-03-13,Current,10X05,CENB,50,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004199592,3058,2024-06-16,120,141,2026-05-16,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006091860,3059,2025-09-03,184,170,2026-03-02,Current,10X20,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005361996,3060,2025-04-01,142,141,2026-03-31,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005078321,3061,2025-01-18,134,170,2026-03-17,Current,20X10,CENB,200,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005058121,3062,2025-01-13,148,141,2026-03-12,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005097994,3064,2025-01-24,64,141,2026-03-23,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006249831,3065,2025-10-13,138,107,2026-03-12,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006006824,3066,2025-08-15,114,141,2026-03-14,Current,10X15,CENB,150,2026-03-27T10:49:18.140904
